paper:19127292	paper:17363749
paper:7568143	paper:1697648
paper:17349010	paper:11734230
paper:8636416	paper:7989590
paper:18981116	paper:11035773
paper:17662714	paper:10333910
paper:18311190	paper:12522068
paper:19508712	paper:12823234
paper:16109069	paper:1469084
paper:1469084	paper:2424992
paper:15358643	paper:9626161
paper:3632094	paper:6369971
paper:11238556	paper:9054944
paper:18996116	paper:14618237
paper:18591388	paper:17206141
paper:2961842	paper:6373460
paper:15985177	paper:3111583
paper:19587831	paper:10480608
paper:9314549	paper:2480383
paper:19007436	paper:12773120
paper:12361980	paper:1613467
paper:19228405	paper:15975110
paper:650240	paper:588254
paper:18060022	paper:8278351
paper:19489075	paper:1494889
paper:17570255	paper:12765949
paper:14730479	paper:11673414
paper:2703526	paper:3905460
paper:17942684	paper:17293876
paper:17969365	paper:15889234
paper:17416797	paper:16855264
paper:1402656	paper:2119056
paper:16823476	paper:15127202
paper:18430197	paper:17389701
paper:18676351	paper:8659491
paper:17302896	paper:11476858
paper:3276208	paper:6360766
paper:7888929	paper:3240834
paper:18670622	paper:12845430
paper:8326015	paper:2185106
paper:9683605	paper:8405760
paper:19060127	paper:11135624
paper:17436030	paper:15671192
paper:18330949	paper:9203944
paper:15610327	paper:10666428
paper:18678618	paper:17846124
paper:12813916	paper:11602628
paper:12819312	paper:9732337
paper:19050058	paper:17671651
paper:2969728	paper:7002677
paper:19180473	paper:15047612
paper:2040701	paper:2668332
paper:3003160	paper:6306391
paper:18753673	paper:17601992
paper:17509149	paper:16186404
paper:15670442	paper:1914802
paper:19436648	paper:16912128
paper:8612203	paper:8375580
paper:2629640	paper:3522325
paper:18776938	paper:10580429
paper:18372903	paper:17846126
paper:19448363	paper:17999777
paper:9221759	paper:8315397
paper:18682514	paper:17327312
paper:8173400	paper:8247074
paper:16766631	paper:8194668
paper:2547480	paper:3737674
paper:18346973	paper:12211926
paper:11050183	paper:10415012
paper:8024313	paper:2187469
paper:3061933	paper:6235285
paper:18523143	paper:9028699
paper:18489578	paper:2240915
paper:7860757	paper:3894418
paper:18664617	paper:14724435
paper:1826646	paper:3311778
paper:19128359	paper:17346189
paper:15738451	paper:12882852
paper:17201925	paper:17005949
paper:11790818	paper:443443
paper:10807676	paper:9723973
paper:19011169	paper:11673498
paper:11286636	paper:10724097
paper:3772281	paper:7246127
paper:10516670	paper:8156408
paper:19140227	paper:17904449
paper:19323962	paper:18591388
paper:19666551	paper:17475933
paper:18667076	paper:11452700
paper:17969381	paper:16823476
paper:9427742	paper:7528672
paper:10378067	paper:1729850
paper:8567980	paper:8326004
paper:6607315	paper:6216134
paper:1469084	paper:2881947
paper:15537844	paper:8641115
paper:17727695	paper:9549452
paper:14694146	paper:8137498
paper:18241357	paper:12441406
paper:18443201	paper:17053028
paper:18414392	paper:17495463
paper:18628530	paper:8725855
paper:15383437	paper:1643761
paper:9579150	paper:8826962
paper:17932595	paper:16728521
paper:9625758	paper:3309126
paper:1469084	paper:3260586
paper:8123622	paper:6873204
paper:18716002	paper:9794112
paper:19140227	paper:10857962
paper:15932520	paper:11978629
paper:8735622	paper:3596063
paper:3578273	paper:6334624
paper:16628253	paper:10549628
paper:19114173	paper:16868300
paper:14687274	paper:9842286
paper:10337011	paper:7537670
paper:17472435	paper:15561965
paper:19436665	paper:11491207
paper:19590589	paper:8741811
paper:18241357	paper:12591159
paper:18067546	paper:2839472
paper:17503332	paper:14647894
paper:8787686	paper:2105341
paper:8878437	paper:7761837
paper:9549452	paper:8039603
paper:14694146	paper:12777446
paper:16818907	paper:10895843
paper:19289805	paper:11832527
paper:10683375	paper:9094710
paper:18802485	paper:17876100
paper:9758619	paper:8072542
paper:18468463	paper:11533711
paper:18285525	paper:17174134
paper:8450059	paper:1929037
paper:16842487	paper:11311100
paper:19587243	paper:15734833
paper:2477102	paper:6311651
paper:19291814	paper:15907769
paper:18570678	paper:18042079
paper:18687759	paper:7867189
paper:9064326	paper:7761837
paper:19171735	paper:10599761
paper:9294105	paper:8035658
paper:19509199	paper:7623488
paper:19120273	paper:17327428
paper:10491414	paper:6384267
paper:18078023	paper:15587767
paper:1675200	paper:2253835
paper:15238494	paper:10857938
paper:17434869	paper:16025115
paper:18439548	paper:17463246
paper:12750472	paper:8637860
paper:1469103	paper:3134969
paper:16075062	paper:8690906
paper:17327457	paper:15561963
paper:18782870	paper:17460697
paper:3888193	paper:6362429
paper:3045812	paper:6233198
paper:8990188	paper:2205920
paper:18710591	paper:9159148
paper:18348689	paper:9215219
paper:18664617	paper:7621990
paper:11320276	paper:1485947
paper:18162513	paper:10882147
paper:17922167	paper:3899825
paper:15492571	paper:10580413
paper:14623908	paper:9933106
paper:18426840	paper:9075814
paper:16186411	paper:15561969
paper:8182126	paper:3993659
paper:8775937	paper:3792666
paper:10630905	paper:8941466
paper:15172958	paper:8067445
paper:7533791	paper:1301992
paper:8095192	paper:3003909
paper:18932203	paper:12928770
paper:16628253	paper:15855569
paper:19091959	paper:16960101
paper:11303130	paper:10532529
paper:18818254	paper:16738155
paper:17764005	paper:16443764
paper:1884094	paper:7001256
paper:9811884	paper:1899142
paper:18606979	paper:9135946
paper:7615815	paper:8174841
paper:7888928	paper:2389754
paper:7619068	paper:1722397
paper:19125180	paper:17445546
paper:16823472	paper:15685168
paper:10714635	paper:8057515
paper:1884094	paper:2946385
paper:2128196	paper:2447233
paper:9579150	paper:2702906
paper:17100770	paper:11600549
paper:1991854	paper:1975377
paper:16847277	paper:15530631
paper:18309686	paper:7589820
paper:1463468	paper:2668332
paper:11106373	paper:8946834
paper:8200983	paper:2406597
paper:14578206	paper:12539039
paper:18535196	paper:16873786
paper:18199798	paper:16572114
paper:2180311	paper:6839196
paper:2719080	paper:6361268
paper:19337548	paper:17596103
paper:11050183	paper:9427742
paper:17443369	paper:16327095
paper:18363276	paper:11547217
paper:2307932	paper:3496416
paper:12507898	paper:10068486
paper:2794065	paper:3906651
paper:3813637	paper:7050326
paper:17129376	paper:12488964
paper:15776395	paper:15004560
paper:18204830	paper:15013454
paper:18060660	paper:17463246
paper:9328252	paper:3437300
paper:17969365	paper:12876091
paper:18633108	paper:17463248
paper:15857516	paper:2686492
paper:19055834	paper:17093941
paper:19789636	paper:16936215
paper:18489577	paper:11289463
paper:18776148	paper:15620463
paper:17942684	paper:8326004
paper:16371630	paper:10666428
paper:14980984	paper:10599761
paper:18486765	paper:15277401
paper:12149437	paper:7589509
paper:7611284	paper:7895953
paper:18199798	paper:11967819
paper:19526210	paper:14578243
paper:19133114	paper:18191056
paper:1385478	paper:3159965
paper:15381770	paper:7888039
paper:19956100	paper:14988278
paper:11744505	paper:11017889
paper:7912625	paper:6354812
paper:7532678	paper:1406974
paper:8078905	paper:2670595
paper:3156147	paper:6448594
paper:19956103	paper:17959935
paper:18678617	paper:16118394
paper:17392166	paper:12830456
paper:18420489	paper:11781358
paper:19706162	paper:3359580
paper:9410915	paper:2015976
paper:18843550	paper:17645549
paper:19389826	paper:18952314
paper:19576321	paper:12453968
paper:17988185	paper:10097918
paper:9294791	paper:8892716
paper:18291022	paper:16847701
paper:1763069	paper:2035962
paper:9892615	paper:9103469
paper:16075053	paper:16075062
paper:7488448	paper:8472505
paper:15985157	paper:192616
paper:19898642	paper:17638715
paper:8363561	paper:3044894
paper:15837817	paper:7694152
paper:1370298	paper:2653745
paper:8878437	paper:1899431
paper:18227068	paper:17670746
paper:19046221	paper:9017359
paper:17237299	paper:15051749
paper:11032784	paper:2227105
paper:8920864	paper:2205920
paper:1370298	paper:3056757
paper:19194565	paper:16731850
paper:18364392	paper:15616004
paper:18245568	paper:9826206
paper:16896942	paper:11053301
paper:17090674	paper:7914259
paper:18644069	paper:9486993
paper:11511743	paper:8519350
paper:17237940	paper:17001469
paper:19056835	paper:10630154
paper:18366806	paper:17415550
paper:9435304	paper:3546382
paper:16973667	paper:8703884
paper:10692053	paper:1675200
paper:15963175	paper:12649049
paper:8170965	paper:1736105
paper:10971508	paper:8088010
paper:19475778	paper:7794577
paper:8855307	paper:2200729
paper:18801706	paper:1473616
paper:19956098	paper:12401728
paper:19743752	paper:17924142
paper:14702111	paper:2949622
paper:10848492	paper:8533167
paper:19930636	paper:14592535
paper:19065993	paper:7589820
paper:16566827	paper:15593124
paper:17307546	paper:7809339
paper:19245711	paper:11874934
paper:19065993	paper:17156104
paper:16204372	paper:1639955
paper:18854049	paper:9684995
paper:16367807	paper:10859350
paper:16847277	paper:8270130
paper:1671006	paper:2885918
paper:3944264	paper:7002345
paper:3403714	paper:2865274
paper:18854016	paper:15983228
paper:19488997	paper:9028691
paper:8941652	paper:8247074
paper:18602983	paper:17463249
paper:8198884	paper:6471668
paper:18031995	paper:11809620
paper:16309862	paper:11133712
paper:18818245	paper:16006542
paper:19055828	paper:16855197
paper:12748907	paper:10593567
paper:19254971	paper:8366922
paper:19696902	paper:1773700
paper:10666428	paper:8455366
paper:19073938	paper:11668341
paper:7860750	paper:1727062
paper:11815493	paper:10531848
paper:11435467	paper:2403659
paper:18178847	paper:10933399
paper:16542446	paper:12453967
paper:17672906	paper:11874930
paper:18006584	paper:16306347
paper:18633113	paper:17666460
paper:11091270	paper:2406597
paper:3519679	paper:6352727
paper:18583384	paper:16489976
paper:18561511	paper:9075803
paper:18670622	paper:12453886
paper:18669807	paper:8366922
paper:16716235	paper:12810241
paper:17267595	paper:8598488
paper:14585101	paper:11028137
paper:19956093	paper:19956106
paper:15889095	paper:9122227
paper:19789630	paper:17293876
paper:15890071	paper:12086092
paper:6320806	paper:160223
paper:19147816	paper:1402665
paper:1849772	paper:3025043
paper:18283633	paper:16556846
paper:16369227	paper:7039363
paper:18596953	paper:15533587
paper:17210729	paper:15790362
paper:18633107	paper:3113569
paper:9435304	paper:47533
paper:19088850	paper:18231124
paper:8200974	paper:6753469
paper:18596543	paper:2941683
paper:12727928	paper:10470079
paper:8514849	paper:1756915
paper:18924636	paper:12762952
paper:18443202	paper:17463249
paper:18835956	paper:10866057
paper:19096518	paper:9742976
paper:9042932	paper:2210067
paper:18611252	paper:12882858
paper:10209507	paper:9075797
paper:17259486	paper:11832527
paper:12414951	paper:8920894
paper:11790818	paper:6458419
paper:18684786	paper:16168670
paper:18776938	paper:16823478
paper:18443202	paper:17463246
paper:8636416	paper:3510224
paper:8601111	paper:8173400
paper:16236123	paper:11590120
paper:10938050	paper:7924774
paper:2498395	paper:6278587
paper:8278351	paper:2644534
paper:2384600	paper:2662408
paper:19602480	paper:19247628
paper:17594390	paper:16555581
paper:19105914	paper:7589943
paper:10545530	paper:8945471
paper:19104970	paper:12610784
paper:1763069	paper:885298
paper:19479186	paper:17765963
paper:16489972	paper:10977022
paper:18448419	paper:10580425
paper:18799632	paper:3156147
paper:1972180	paper:3264405
paper:15969768	paper:2673695
paper:15932520	paper:6362005
paper:17623014	paper:15516696
paper:18262522	paper:11819026
paper:18492786	paper:8543793
paper:18776148	paper:15372359
paper:19246639	paper:10859350
paper:17571924	paper:16775236
paper:18776141	paper:11067779
paper:18654634	paper:10331426
paper:18207200	paper:7660530
paper:12967942	paper:11473079
paper:19056762	paper:11246881
paper:12832613	paper:1357346
paper:8350054	paper:2258003
paper:15606614	paper:6966615
paper:18586907	paper:15771578
paper:1467844	paper:6347785
paper:2270941	paper:2649324
paper:8381473	paper:3032493
paper:15383791	paper:15047609
paper:11711458	paper:8933009
paper:17043101	paper:16887982
paper:10482607	paper:1661690
paper:10677521	paper:10330293
paper:15546994	paper:9844629
paper:8842069	paper:1467683
paper:18091993	paper:16723646
paper:19128359	paper:17429581
paper:18492787	paper:12618479
paper:10490523	paper:2004172
paper:7573053	paper:8072542
paper:8636427	paper:7473199
paper:19273282	paper:18080107
paper:18053255	paper:2515052
paper:7722468	paper:1409662
paper:18561513	paper:17300593
paper:16049319	paper:8941575
paper:19366943	paper:3124685
paper:10550321	paper:9296561
paper:1586783	paper:7439541
paper:18478125	paper:7716139
paper:19436665	paper:17595355
paper:18337172	paper:9878085
paper:3290380	paper:3003909
paper:7769136	paper:2824266
paper:16236379	paper:11024581
paper:16400026	paper:11527957
paper:12819007	paper:10541297
paper:17969381	paper:15505122
paper:19480671	paper:15846663
paper:19046200	paper:14988310
paper:8408615	paper:1946445
paper:18535187	paper:16105859
paper:18591387	paper:11473032
paper:9053453	paper:7860729
paper:17476357	paper:14962949
paper:19956093	paper:19956104
paper:17392158	paper:8608603
paper:10739754	paper:9491819
paper:16186282	paper:8087927
paper:8692984	paper:2189768
paper:17425627	paper:15504997
paper:18292467	paper:3543673
paper:9449718	paper:8757636
paper:17319471	paper:11594300
paper:17257275	paper:9732337
paper:10191799	paper:1299075
paper:18297260	paper:16059790
paper:16672053	paper:12660865
paper:3086921	paper:6499635
paper:12133154	paper:7967857
paper:16075062	paper:11907129
paper:1522229	paper:2523954
paper:7427231	paper:1174829
paper:16109069	paper:7744614
paper:19364331	paper:16129698
paper:11507694	paper:11334427
paper:3316278	paper:2857024
paper:15965169	paper:11168343
paper:19143814	paper:9519723
paper:11927616	paper:10330297
paper:17349010	paper:15972866
paper:18198228	paper:12502506
paper:3170749	paper:3540010
paper:18590522	paper:17018838
paper:18171473	paper:8732717
paper:7944528	paper:8330401
paper:18984671	paper:11869302
paper:16249451	paper:9445267
paper:19364331	paper:10944172
paper:17703632	paper:10359389
paper:1361492	paper:2847947
paper:14983031	paper:12925730
paper:18178393	paper:16464953
paper:15988804	paper:10333896
paper:1390526	paper:6363177
paper:18973206	paper:8879346
paper:17334651	paper:12351431
paper:2510155	paper:3968427
paper:18493734	paper:15855341
paper:18755353	paper:15983299
paper:8415742	paper:2163026
paper:8675702	paper:7720392
paper:8916747	paper:1612225
paper:10944172	paper:6134470
paper:18583417	paper:15582161
paper:18400966	paper:11978658
paper:9435304	paper:9028724
paper:9239416	paper:8287660
paper:9449718	paper:8072542
paper:17532267	paper:1719570
paper:1644920	paper:2263645
paper:15492571	paper:2897315
paper:17963344	paper:15642082
paper:19479186	paper:17363746
paper:17412305	paper:10415018
paper:14623908	paper:12145161
paper:17343760	paper:16488505
paper:19721859	paper:17805239
paper:10580857	paper:2941683
paper:10336573	paper:3090107
paper:19007436	paper:15955116
paper:18825272	paper:3073901
paper:19046244	paper:9388398
paper:18769687	paper:17160407
paper:15640422	paper:7621998
paper:18269730	paper:9075604
paper:18567926	paper:12610013
paper:19114173	paper:8858216
paper:17627978	paper:9253967
paper:18215172	paper:12681024
paper:18513544	paper:2078922
paper:19111066	paper:11063279
paper:19340286	paper:15955116
paper:9529321	paper:8522063
paper:8471028	paper:2180755
paper:19179216	paper:16371630
paper:17444424	paper:15677776
paper:19220880	paper:17315242
paper:19368707	paper:17293876
paper:18047254	paper:2403066
paper:19114173	paper:8026285
paper:15082736	paper:2964983
paper:17969365	paper:9742976
paper:17290035	paper:16801574
paper:18082004	paper:12034408
paper:9708813	paper:2226113
paper:8775937	paper:8436836
paper:8127894	paper:3540010
paper:12815107	paper:9362527
paper:19040615	paper:10562307
paper:19956098	paper:11118029
paper:8012723	paper:2923230
paper:15931309	paper:11475269
paper:19956093	paper:19956100
paper:18337172	paper:1522229
paper:8200993	paper:2189891
paper:10490523	paper:7711537
paper:2257445	paper:2850927
paper:17908332	paper:8013760
paper:17969365	paper:15140339
paper:18654634	paper:12540634
paper:17932595	paper:239528
paper:17697317	paper:15526003
paper:19568428	paper:18775581
paper:8564218	paper:6698366
paper:17334651	paper:11289047
paper:12456547	paper:10776949
paper:11303130	paper:2180661
paper:19449020	paper:9817917
paper:18562629	paper:12477967
paper:1592439	paper:1975377
paper:18984738	paper:15096540
paper:17983440	paper:2205920
paper:12153522	paper:8349046
paper:17627978	paper:8017201
paper:17349009	paper:12727928
paper:20061360	paper:12136392
paper:1349195	paper:2494458
paper:18782577	paper:17327428
paper:3313390	paper:6315512
paper:8352278	paper:2885918
paper:18973206	paper:15637426
paper:12569167	paper:1532369
paper:3308958	paper:2863188
paper:18567820	paper:17434869
paper:18277383	paper:16443880
paper:18492945	paper:15711018
paper:1602013	paper:3403714
paper:2173562	paper:6389544
paper:18257922	paper:10342344
paper:8675688	paper:1446798
paper:17483299	paper:16431079
paper:17151331	paper:14514648
paper:19439071	paper:18644071
paper:18346991	paper:2677038
paper:1634622	paper:2243134
paper:6373827	paper:447832
paper:19688338	paper:14578243
paper:18330949	paper:2753246
paper:18316361	paper:15919798
paper:6088584	paper:6455904
paper:17188609	paper:7926304
paper:18078023	paper:16784180
paper:18561505	paper:17517853
paper:18725615	paper:18332288
paper:19165345	paper:8549009
paper:18497687	paper:15912092
paper:18779574	paper:11812740
paper:17548847	paper:12032107
paper:8145050	paper:2882518
paper:19340895	paper:14988838
paper:17727695	paper:15616233
paper:14983031	paper:12037147
paper:18078023	paper:12074206
paper:17461531	paper:8462766
paper:9727063	paper:8551245
paper:7769140	paper:2205920
paper:1469083	paper:2890501
paper:8564237	paper:2633909
paper:18445251	paper:16773565
paper:18314421	paper:2189768
paper:8371347	paper:3956881
paper:18753291	paper:16971655
paper:8733583	paper:3816968
paper:12082183	paper:8216686
paper:8012717	paper:3816968
paper:14673094	paper:3309126
paper:15997237	paper:10857969
paper:18450419	paper:15784469
paper:15837923	paper:11781759
paper:12876160	paper:1808637
paper:16412042	paper:12235110
paper:16823472	paper:9495343
paper:19403464	paper:8366922
paper:19074809	paper:17898301
paper:9664075	paper:1202096
paper:17679132	paper:15353531
paper:18561508	paper:8720610
paper:19930636	paper:8582537
paper:7615833	paper:2210052
paper:7860730	paper:1901765
paper:17953760	paper:11194213
paper:1707531	paper:2190098
paper:17151331	paper:15983218
paper:8900244	paper:1469084
paper:18190608	paper:8100367
paper:19641379	paper:10911004
paper:16423130	paper:11955025
paper:7706455	paper:8504767
paper:19046214	paper:16478821
paper:15030523	paper:10892762
paper:10848492	paper:9257847
paper:7702375	paper:3993659
paper:8555801	paper:6738599
paper:18039812	paper:16775037
paper:19156219	paper:18716002
paper:18753291	paper:16091403
paper:8601111	paper:1932936
paper:3937338	paper:3922361
paper:17983444	paper:17082580
paper:9068300	paper:1586783
paper:9794859	paper:3203570
paper:18487476	paper:14988310
paper:18477407	paper:9773740
paper:18796620	paper:15867184
paper:19956106	paper:19956104
paper:14708927	paper:12401412
paper:16127462	paper:10588944
paper:16254324	paper:12173683
paper:3891786	paper:6124126
paper:8376591	paper:3546382
paper:2185278	paper:2537578
paper:15932520	paper:9893161
paper:11719900	paper:3057885
paper:1534652	paper:3106832
paper:16451732	paper:12919705
paper:15466998	paper:1902595
paper:3493204	paper:6220066
paper:19291814	paper:9719467
paper:18205952	paper:8733139
paper:19435491	paper:12556541
paper:2263632	paper:6870806
paper:19727402	paper:12766110
paper:15155395	paper:11742409
paper:10207172	paper:7868915
paper:8108432	paper:3033021
paper:1632685	paper:3632094
paper:16796743	paper:12140742
paper:18686043	paper:11742409
paper:10430939	paper:8871671
paper:9435304	paper:1612231
paper:8637860	paper:8288043
paper:18469202	paper:16585050
paper:18435852	paper:11565517
paper:8855307	paper:1565635
paper:18028036	paper:11565518
paper:16192452	paper:1563334
paper:17889075	paper:15784705
paper:18720028	paper:16006679
paper:18678618	paper:17603484
paper:9246003	paper:6608876
paper:18776136	paper:12516557
paper:17319100	paper:12136399
paper:8401939	paper:6297454
paper:19479186	paper:10526729
paper:12896940	paper:9732337
paper:17598085	paper:17131142
paper:17213274	paper:11832527
paper:19073651	paper:16608888
paper:2571382	paper:2444321
paper:18957531	paper:17686944
paper:17415316	paper:2653929
paper:17583177	paper:15106814
paper:17034640	paper:12808888
paper:17372793	paper:15047092
paper:18657196	paper:12940868
paper:16966600	paper:15250035
paper:9707599	paper:8641276
paper:7615815	paper:8214048
paper:18544707	paper:18443202
paper:8567980	paper:7769140
paper:18258851	paper:16177002
paper:18060660	paper:17703236
paper:18599530	paper:16595597
paper:16873750	paper:12074262
paper:7558135	paper:1971173
paper:17130504	paper:7732997
paper:16494646	paper:15539803
paper:10209433	paper:3557875
paper:15776395	paper:11799396
paper:19228808	paper:10868967
paper:9732338	paper:3034532
paper:3531381	paper:7041259
paper:7931087	paper:1896073
paper:12896940	paper:9742977
paper:18483403	paper:11815468
paper:18567926	paper:3698784
paper:17476010	paper:8554246
paper:15616247	paper:11955025
paper:12456547	paper:8846677
paper:2217193	paper:2654288
paper:17876371	paper:8117360
paper:18437223	paper:1478367
paper:17244154	paper:1285852
paper:16443789	paper:15793255
paper:19060127	paper:1936671
paper:18633108	paper:17293876
paper:19030205	paper:14593459
paper:19143814	paper:10053014
paper:18422727	paper:15616015
paper:19419582	paper:17967711
paper:3944264	paper:7144445
paper:19114173	paper:8659491
paper:17043101	paper:1909135
paper:3033025	paper:6197336
paper:16488949	paper:11118026
paper:17672906	paper:12150599
paper:18561511	paper:17003291
paper:18562629	paper:7540575
paper:17461531	paper:15031673
paper:9042932	paper:2784133
paper:17603484	paper:15056606
paper:19366942	paper:16918588
paper:16886063	paper:9166663
paper:8182126	paper:2253832
paper:18314421	paper:17293876
paper:18200815	paper:12765945
paper:12361980	paper:1733800
paper:17135629	paper:7859931
paper:18513544	paper:16567531
paper:16842480	paper:15375790
paper:18248673	paper:18070262
paper:18296490	paper:12746279
paper:6385729	paper:6895508
paper:18823555	paper:15679073
paper:18178393	paper:15983206
paper:3017115	paper:6245984
paper:2892397	paper:6363172
paper:12699416	paper:11079741
paper:9238035	paper:7612220
paper:19397795	paper:7888692
paper:19436665	paper:12087010
paper:18753291	paper:15563560
paper:15738708	paper:14709195
paper:19568428	paper:7589820
paper:19095325	paper:10954015
paper:1786627	paper:3863753
paper:14707030	paper:3525850
paper:19228405	paper:9096971
paper:18698428	paper:9169130
paper:16306359	paper:12941777
paper:2173763	paper:1690262
paper:11891618	paper:11704924
paper:18809813	paper:9669786
paper:18511765	paper:16895879
paper:12409659	paper:1733132
paper:9824500	paper:1516628
paper:8423231	paper:6698317
paper:17956579	paper:14678267
paper:17148684	paper:16381994
paper:18458138	paper:9827853
paper:16597817	paper:2970917
paper:11091269	paper:9435304
paper:18060022	paper:10677521
paper:18561513	paper:11790216
paper:15383437	paper:4053961
paper:19179216	paper:16823477
paper:10944172	paper:2956889
paper:17668382	paper:12540637
paper:19668377	paper:1541672
paper:15781936	paper:8013746
paper:8012717	paper:8012723
paper:15837923	paper:10037770
paper:18477407	paper:11815512
paper:3546382	paper:6378696
paper:18417746	paper:12164879
paper:18985156	paper:17437080
paper:17261860	paper:9786807
paper:19093033	paper:18054738
paper:9246003	paper:1139259
paper:17969380	paper:2157941
paper:16205724	paper:10604280
paper:18498660	paper:16855264
paper:7545875	paper:8402882
paper:8317480	paper:2384193
paper:17908332	paper:11553191
paper:19553558	paper:11812768
paper:16628253	paper:15919798
paper:18509204	paper:14529698
paper:17989340	paper:12110133
paper:16443884	paper:2897940
paper:19450032	paper:14529698
paper:10952644	paper:2227133
paper:19120494	paper:219345
paper:18650372	paper:15531498
paper:18423879	paper:11484070
paper:3280182	paper:6368290
paper:11687636	paper:7859934
paper:9062360	paper:7703388
paper:18583417	paper:17337254
paper:15467826	paper:12540604
paper:15467824	paper:15467829
paper:18262522	paper:10520229
paper:19436648	paper:18786605
paper:9202063	paper:8614835
paper:17257277	paper:10414932
paper:12163378	paper:9222639
paper:11919048	paper:3523246
paper:18591387	paper:16306330
paper:17956579	paper:14578287
paper:18435852	paper:17517853
paper:8775937	paper:2644534
paper:19065993	paper:17223217
paper:11255900	paper:1516497
paper:17302896	paper:11978633
paper:7545875	paper:2394030
paper:17349010	paper:11476858
paper:11285306	paper:9625758
paper:2223305	paper:3188985
paper:15841215	paper:12055342
paper:15466998	paper:11498469
paper:17559889	paper:14527633
paper:18235050	paper:17538940
paper:2409808	paper:508288
paper:19956106	paper:18556337
paper:6391388	paper:6351759
paper:18996116	paper:3925127
paper:18776938	paper:16931765
paper:19151107	paper:11874924
paper:19105914	paper:9272592
paper:7615815	paper:2138534
paper:17967198	paper:10777831
paper:17671651	paper:6384269
paper:14514648	paper:8040759
paper:18957534	paper:17098085
paper:17584843	paper:17023529
paper:17668636	paper:8072544
paper:17594390	paper:14969650
paper:17483299	paper:10803701
paper:19065992	paper:17476355
paper:18366646	paper:14747303
paper:18178393	paper:14755342
paper:18640486	paper:15112169
paper:3052943	paper:3891476
paper:16178863	paper:10931424
paper:1864963	paper:2806767
paper:15537844	paper:11422762
paper:1592439	paper:208156
paper:18776141	paper:16028335
paper:1569197	paper:2307296
paper:12153522	paper:8908376
paper:19038792	paper:16494646
paper:18493227	paper:16046308
paper:10403912	paper:8314020
paper:2442195	paper:2861128
paper:17521324	paper:10841006
paper:18984738	paper:8314024
paper:19666551	paper:3317417
paper:18682012	paper:16249558
paper:17503332	paper:16936217
paper:18284670	paper:15721974
paper:10516670	paper:1451951
paper:17185336	paper:2335846
paper:17620445	paper:10891831
paper:19065992	paper:9742977
paper:18660851	paper:9771706
paper:18556343	paper:3293339
paper:19357773	paper:17395743
